GEOID,AFFGEOID,ALAND,AWATER,BLKGRPCE,COUNTYFP,GEOID,LSAD,NAME,STATEFP,TRACTCE,geometry
370210003002,1500000US370210003002,461349,0,2,021,370210003002,BG,2,37,000300,"POLYGON ((-82.56777 35.606625, -82.564109 35.608819, -82.563339 35.608212, -82.561909 35.606321, -82.56056599999999 35.605135, -82.557464 35.603398, -82.56281799999999 35.600445, -82.564683 35.60063, -82.565933 35.602657, -82.567846 35.605294, -82.56777 35.606625))"
370210019001,1500000US370210019001,2416732,17389,1,021,370210019001,BG,1,37,001900,"POLYGON ((-82.502804 35.58734, -82.501977 35.587763, -82.499999 35.589067, -82.497856 35.589872, -82.492874 35.587451, -82.491361 35.587382, -82.487534 35.587411, -82.47945199999999 35.58645, -82.47632999999999 35.582972, -82.478854 35.57739, -82.478967 35.576556, -82.484478 35.575181, -82.48680299999999 35.574976, -82.48826 35.574054, -82.489981 35.574406, -82.48969199999999 35.575901, -82.491671 35.578422, -82.490481 35.578979, -82.490505 35.58175, -82.493409 35.582228, -82.49472399999999 35.581983, -82.496668 35.579575, -82.49780199999999 35.580248, -82.49950199999999 35.579405, -82.50178699999999 35.581953, -82.50443 35.58595, -82.502804 35.58734))"
370210022042,1500000US370210022042,2191343,4393,2,021,370210022042,BG,2,37,002204,"POLYGON ((-82.536917 35.509338, -82.537559 35.511444, -82.537564 35.511917, -82.53731399999999 35.514575, -82.535118 35.515227, -82.536394 35.515567, -82.53330199999999 35.515901, -82.53173699999999 35.516428, -82.53072399999999 35.517168, -82.528604 35.519488, -82.52772999999999 35.52017, -82.52489299999999 35.521865, -82.52288799999999 35.520483, -82.522234 35.51518799999999, -82.517984 35.508286, -82.51875 35.503689, -82.51819499999999 35.5005, -82.518947 35.499072, -82.519488 35.498245, -82.521254 35.498445, -82.521717 35.49975, -82.524 35.503409, -82.52615399999999 35.509453, -82.53069699999999 35.509502, -82.53168199999999 35.50942, -82.53321299999999 35.506772, -82.537751 35.507735, -82.536917 35.509338))"
370210005003,1500000US370210005003,1999352,0,3,021,370210005003,BG,3,37,000500,"POLYGON ((-82.554647 35.623198, -82.55393599999999 35.625594, -82.552734 35.629107, -82.550556 35.631247, -82.55061499999999 35.633741, -82.549537 35.634848, -82.549339 35.632582, -82.54809499999999 35.633086, -82.54644399999999 35.629802, -82.546683 35.627778, -82.54675899999999 35.627208, -82.54704599999999 35.624129, -82.545345 35.624249, -82.54554999999999 35.623358, -82.54247199999999 35.622937, -82.53983599999999 35.625204, -82.53784999999999 35.624948, -82.53969599999999 35.623782, -82.53904399999999 35.622545, -82.54139699999999 35.620074, -82.540418 35.617116, -82.541095 35.615278, -82.54217 35.614311, -82.545475 35.612716, -82.545642 35.612155, -82.55125 35.612155, -82.55417 35.614994, -82.554631 35.616192, -82.55420699999999 35.617336, -82.55438099999999 35.620353, -82.554647 35.623198))"
370210012003,1500000US370210012003,606041,0,3,021,370210012003,BG,3,37,001200,"POLYGON ((-82.60565199999999 35.573349, -82.60553299999999 35.574959, -82.6054 35.576995, -82.604792 35.577164, -82.60478599999999 35.582218, -82.60351199999999 35.581324, -82.59795 35.580594, -82.594657 35.578652, -82.594312 35.578471, -82.596187 35.578284, -82.59958 35.575676, -82.600235 35.57449, -82.60265799999999 35.571956, -82.60574799999999 35.572169, -82.60565199999999 35.573349))"
370210031043,1500000US370210031043,1865728,77190,3,021,370210031043,BG,3,37,003104,"POLYGON ((-82.383781 35.604519, -82.381652 35.605667, -82.38078899999999 35.606, -82.374155 35.608426, -82.36914 35.609073, -82.36738 35.609283, -82.36451099999999 35.609621, -82.36386 35.609615, -82.361375 35.609172, -82.353955 35.609891, -82.34649899999999 35.609218, -82.34440599999999 35.609519, -82.34106899999999 35.61028, -82.340884 35.609609, -82.35869699999999 35.60581, -82.364947 35.603222, -82.36759099999999 35.60207, -82.3686 35.60163, -82.372816 35.60032, -82.37758599999999 35.600031, -82.379048 35.600176, -82.380017 35.600375, -82.385385 35.60352, -82.383781 35.604519))"
370210020003,1500000US370210020003,2081926,0,3,021,370210020003,BG,3,37,002000,"POLYGON ((-82.5455 35.568156, -82.54118099999999 35.56751, -82.539536 35.566637, -82.534555 35.564799, -82.527856 35.563724, -82.523669 35.562142, -82.518997 35.560989, -82.51772099999999 35.55898, -82.517645 35.557182, -82.517612 35.55651599999999, -82.51777899999999 35.551875, -82.518253 35.551297, -82.51994599999999 35.549721, -82.52078999999999 35.549337, -82.52041299999999 35.550912, -82.52281599999999 35.548506, -82.52540599999999 35.549164, -82.524047 35.555195, -82.524569 35.55673, -82.53381999999999 35.557542, -82.538506 35.558423, -82.54237999999999 35.56377, -82.54375999999999 35.567254, -82.54585 35.567671, -82.5455 35.568156))"
370210005002,1500000US370210005002,490477,0,2,021,370210005002,BG,2,37,000500,"POLYGON ((-82.55125 35.612155, -82.545642 35.612155, -82.545475 35.612716, -82.54217 35.614311, -82.541095 35.615278, -82.538524 35.614261, -82.54258 35.611275, -82.539445 35.612161, -82.54015799999999 35.608348, -82.54146299999999 35.607369, -82.546159 35.607955, -82.54810599999999 35.60819499999999, -82.55125 35.612155))"
370210010002,1500000US370210010002,1185217,0,2,021,370210010002,BG,2,37,001000,"POLYGON ((-82.58558599999999 35.56814, -82.58486099999999 35.571449, -82.58340299999999 35.573835, -82.582729 35.577932, -82.58174799999999 35.577819, -82.575345 35.577746, -82.57599599999999 35.570083, -82.574342 35.568437, -82.574191 35.56820099999999, -82.57341 35.565782, -82.581124 35.56483, -82.58491099999999 35.565999, -82.586922 35.56579, -82.58558599999999 35.56814))"
370210010003,1500000US370210010003,706189,11163,3,021,370210010003,BG,3,37,001000,"POLYGON ((-82.575345 35.577746, -82.570725 35.576835, -82.569441 35.573592, -82.57094099999999 35.573478, -82.56984299999999 35.570755, -82.56681999999999 35.571102, -82.564128 35.568774, -82.563824 35.568765, -82.563903 35.568568, -82.564503 35.56823, -82.56522 35.567894, -82.57341 35.565782, -82.574191 35.56820099999999, -82.574342 35.568437, -82.57599599999999 35.570083, -82.575345 35.577746))"
