,percent_unemployed,percent_nohs
"Block Group 1, Census Tract 1, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000100> block group:1",6.159420289855073,12.97335203366059
"Block Group 1, Census Tract 2, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000200> block group:1",15.710723192019952,12.6953125
"Block Group 2, Census Tract 2, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000200> block group:2",4.081632653061225,6.804123711340206
"Block Group 1, Census Tract 3, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000300> block group:1",5.932203389830509,14.86146095717884
"Block Group 2, Census Tract 3, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000300> block group:2",4.488778054862843,5.450733752620545
"Block Group 1, Census Tract 4, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000400> block group:1",6.995003568879373,4.469763365468887
"Block Group 2, Census Tract 4, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000400> block group:2",10.263157894736842,3.14769975786925
"Block Group 3, Census Tract 4, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000400> block group:3",3.606557377049181,2.33160621761658
"Block Group 1, Census Tract 5, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000500> block group:1",7.8431372549019605,0.0
"Block Group 2, Census Tract 5, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000500> block group:2",0.0,4.587155963302752
"Block Group 3, Census Tract 5, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000500> block group:3",4.62085308056872,3.9752650176678443
"Block Group 1, Census Tract 6, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000600> block group:1",8.131487889273355,4.07055630936228
"Block Group 2, Census Tract 6, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000600> block group:2",7.32421875,4.701627486437613
"Block Group 1, Census Tract 7, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000700> block group:1",6.649616368286446,9.269988412514484
"Block Group 1, Census Tract 8, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000800> block group:1",2.321981424148607,10.88348271446863
"Block Group 2, Census Tract 8, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000800> block group:2",9.73871733966746,8.223350253807107
"Block Group 3, Census Tract 8, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000800> block group:3",11.156186612576064,18.833652007648183
"Block Group 1, Census Tract 9, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000900> block group:1",23.57142857142857,16.666666666666664
"Block Group 2, Census Tract 9, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000900> block group:2",30.144927536231886,14.331723027375201
"Block Group 3, Census Tract 9, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:000900> block group:3",19.81382978723404,15.364120781527532
"Block Group 1, Census Tract 10, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001000> block group:1",0.7373271889400922,6.20384047267356
"Block Group 2, Census Tract 10, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001000> block group:2",6.451612903225806,9.134615384615383
"Block Group 3, Census Tract 10, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001000> block group:3",1.206896551724138,17.97752808988764
"Block Group 1, Census Tract 11, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001100> block group:1",3.313253012048193,6.506024096385541
"Block Group 2, Census Tract 11, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001100> block group:2",2.085308056872038,4.434589800443459
"Block Group 3, Census Tract 11, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001100> block group:3",0.0,10.82375478927203
"Block Group 1, Census Tract 12, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001200> block group:1",9.310344827586208,14.595660749506903
"Block Group 2, Census Tract 12, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001200> block group:2",5.6672760511883,0.0
"Block Group 3, Census Tract 12, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001200> block group:3",0.0,3.237410071942446
"Block Group 4, Census Tract 12, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001200> block group:4",0.0,2.525832376578645
"Block Group 5, Census Tract 12, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001200> block group:5",15.051546391752577,10.824742268041238
"Block Group 1, Census Tract 13, Buncombe County, North Carolina: Summary level: 150, state:37> county:021> tract:001300> block group:1",8.201240523776706,7.537361923326835
